Code;Name;CountryISO;ISIN;CCY;Sector;Industry;GicSector;GicGroup;GicIndustry;GicSubIndustry;HQ;FullTimeEmployees;WebURL;UpdateDate;ActiveFlag
AADI US;Aadi Bioscience Inc;US;US00032Q1040;USD;Healthcare;Biotechnology;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Biotechnology;Biotechnology;United States;89;https://aadibio.com;17.09.2023;1
AALB AS;Aalberts Industries NV;NL;NL0000852564;EUR;Industrials;Specialty Industrial Machinery;Industrials;Capital Goods;Machinery;Industrial Machinery & Supplies & Components;Netherlands;14597;https://www.aalberts.com;19.10.2023;1
AAON US;AAON Inc;US;US0003602069;USD;Industrials;Building Products & Equipment;Industrials;Capital Goods;Building Products;Building Products;United States;3666;https://www.aaon.com;19.09.2023;1
AAQ1 F;aap Implantate AG;DE;DE000A3H2101;EUR;Healthcare;Medical Devices;Health Care;Health Care Equipment & Services;Health Care Equipment & Supplies;Health Care Equipment;Germany;111;https://www.aap.de;05.09.2023;1
AIR US;AAR Corp;US;US0003611052;USD;Industrials;Aerospace & Defense;Industrials;Capital Goods;Aerospace & Defense;Aerospace & Defense;United States;5000;https://www.aarcorp.com;19.09.2023;1
ARL F;Aareal Bank AG;DE;DE0005408116;EUR;Financial Services;Banks-Regional;Financials;Banks;Banks;Regional Banks;Germany;2593;https://www.aareal-bank.com;19.09.2023;1
AAN US;Aarons Inc;US;US00258W1080;USD;Industrials;Rental & Leasing Services;Consumer Discretionary;Consumer Discretionary Distribution & Retail;Specialty Retail;Homefurnishing Retail;United States;10060;https://www.aarons.com;18.09.2023;1
AB PA;AB Science S.A;FR;FR0010557264;EUR;Healthcare;Drug Manufacturers - Specialty & Generic;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Pharmaceuticals;Pharmaceuticals;France;89;https://www.ab-science.com;18.10.2023;1
ABBN SW;ABB Ltd;CH;CH0012221716;CHF;Industrials;Electrical Equipment & Parts;Industrials;Capital Goods;Electrical Equipment;Electrical Components & Equipment;Switzerland;104720;https://global.abb/group/en;05.09.2023;1
ABT US;Abbott Laboratories;US;US0028241000;USD;Healthcare;Medical Devices;Health Care;Health Care Equipment & Services;Health Care Equipment & Supplies;Health Care Equipment;United States;115000;https://www.abbott.com;19.09.2023;1
ABBV US;AbbVie Inc;US;US00287Y1091;USD;Healthcare;Drug Manufacturers-General;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Biotechnology;Biotechnology;United States;50000;https://www.abbvie.com;18.09.2023;1
ABCA PA;ABC arbitrage SA;FR;FR0004040608;EUR;Financial Services;Asset Management;Financials;Financial Services;Capital Markets;Asset Management & Custody Banks;France;101;https://www.abc-arbitrage.com;18.10.2023;1
ABEO PA;Abeo SAS;FR;FR0013185857;EUR;Consumer Cyclical;Leisure;Consumer Discretionary;Consumer Durables & Apparel;Leisure Products;Leisure Products;France;1391;https://www.groupe-abeo.fr;19.10.2023;1
ABEO US;Abeona Therapeutics Inc;US;US00289Y1073;USD;Healthcare;Biotechnology;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Biotechnology;Biotechnology;United States;57;https://www.abeonatherapeutics.com;19.09.2023;1
ANF US;Abercrombie & Fitch Company;US;US0028962076;USD;Consumer Cyclical;Apparel Retail;Consumer Discretionary;Consumer Discretionary Distribution & Retail;Specialty Retail;Apparel Retail;United States;7200;https://www.abercrombie.com;18.09.2023;1
ABVX PA;Abivax SA;FR;FR0012333284;EUR;Healthcare;Biotechnology;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Biotechnology;Biotechnology;France;26;https://www.abivax.com;19.10.2023;1
