state;age;population
CA;<10;5038433
TX;<10;3983091
FL;<10;2211012
NY;<10;2319945
IL;<10;1619682
PA;<10;1458931
CA;Okt 19;5170341
TX;Okt 19;3910528
FL;Okt 19;2331102
NY;Okt 19;2445591
IL;Okt 19;1715984
PA;Okt 19;1608018
CA;20-29;5809455
TX;20-29;3946447
FL;20-29;2597830
NY;20-29;2894266
IL;20-29;1789739
PA;20-29;1712448
CA;30-39;5354112
TX;30-39;3770534
FL;30-39;2416176
NY;30-39;2605355
IL;30-39;1721954
PA;30-39;1520409
CA;40-49;5179258
TX;40-49;3545746
FL;40-49;2575576
NY;40-49;2617327
IL;40-49;1697069
PA;40-49;1645291
CA;50-59;5042094
TX;50-59;3344930
FL;50-59;2762983
NY;50-59;2755620
IL;50-59;1773366
PA;50-59;1881378
CA;60-69;3737461
TX;60-69;2431494
FL;60-69;2404659
NY;60-69;2095207
IL;60-69;1326121
PA;60-69;1491536
CA;70-79;2011678
TX;70-79;1291486
FL;70-79;1615547
NY;70-79;1160055
IL;70-79;728821
PA;70-79;850897
CA;≥80;1311374
TX;≥80;732179
FL;≥80;1019566
NY;≥80;804091
IL;≥80;478948
PA;≥80;615069
