Symbol;Date;Close
AMD;31.12.2009;9.68
AMD;04.01.2010;9.7
AMD;05.01.2010;9.71
AMD;06.01.2010;9.57
AMD;07.01.2010;9.47
AMD;08.01.2010;9.43
AMD;11.01.2010;9.14
AMD;12.01.2010;8.65
AMD;13.01.2010;9.15
AMD;14.01.2010;9
AMD;15.01.2010;8.84
AMD;19.01.2010;9.01
AMD;20.01.2010;8.87
AMD;21.01.2010;8.99
AMD;22.01.2010;7.88
AMD;25.01.2010;8.07
AMD;26.01.2010;8.09
AMD;27.01.2010;8.19
AMD;28.01.2010;7.88
AMD;29.01.2010;7.46
AMD;01.02.2010;7.98
AMD;02.02.2010;7.91
AMD;03.02.2010;7.81
AMD;04.02.2010;7.19
AMD;05.02.2010;7.35
AMD;08.02.2010;7.42
AMD;09.02.2010;7.54
AMD;10.02.2010;7.64
AMD;11.02.2010;7.84
AMD;12.02.2010;7.87
AMD;16.02.2010;8.06
AMD;17.02.2010;8.03
AMD;18.02.2010;7.95
AMD;19.02.2010;7.93
AMD;22.02.2010;7.9
AMD;23.02.2010;7.79
AMD;24.02.2010;8.05
AMD;25.02.2010;7.89
AMD;26.02.2010;7.91
AMD;01.03.2010;8.21
AMD;02.03.2010;8.38
AMD;03.03.2010;8.35
AMD;04.03.2010;8.5
AMD;05.03.2010;8.61
AMD;08.03.2010;8.64
AMD;09.03.2010;8.63
AMD;10.03.2010;8.92
AMD;11.03.2010;8.95
AMD;12.03.2010;8.93
AMD;15.03.2010;8.92
AMD;16.03.2010;9.4
AMD;17.03.2010;9.67
AMD;18.03.2010;9.39
AMD;19.03.2010;9.11
AMD;22.03.2010;9.31
AMD;23.03.2010;9.45
AMD;24.03.2010;9.23
AMD;25.03.2010;9.03
AMD;26.03.2010;9.02
AMD;29.03.2010;9.11
AMD;30.03.2010;9.27
AMD;31.03.2010;9.27
AMD;01.04.2010;9.37
AMD;05.04.2010;9.53
AMD;06.04.2010;9.35
AMD;07.04.2010;9.66
AMD;08.04.2010;9.42
AMD;09.04.2010;9.3
AMD;12.04.2010;9.42
AMD;13.04.2010;9.56
AMD;14.04.2010;9.89
AMD;15.04.2010;10.16
AMD;16.04.2010;9.81
AMD;19.04.2010;9.58
AMD;20.04.2010;9.77
AMD;21.04.2010;9.78
AMD;22.04.2010;9.86
AMD;23.04.2010;9.76
AMD;26.04.2010;9.97
AMD;27.04.2010;9.58
AMD;28.04.2010;9.55
AMD;29.04.2010;9.72
AMD;30.04.2010;9.07
AMD;03.05.2010;9.29
AMD;04.05.2010;8.68
AMD;05.05.2010;8.58
AMD;06.05.2010;8.27
AMD;07.05.2010;8.38
AMD;10.05.2010;8.99
AMD;11.05.2010;9.07
AMD;12.05.2010;9.49
AMD;13.05.2010;9.42
AMD;14.05.2010;8.8
AMD;17.05.2010;8.85
AMD;18.05.2010;8.42
AMD;19.05.2010;8.47
AMD;20.05.2010;8.09
AMD;21.05.2010;8.4
AMD;24.05.2010;8.09
AMD;25.05.2010;8.15
AMD;26.05.2010;8.22
AMD;27.05.2010;8.8
AMD;28.05.2010;8.57
AMD;01.06.2010;8.14
AMD;02.06.2010;8.54
AMD;03.06.2010;8.69
AMD;04.06.2010;8.105
AMD;07.06.2010;7.71
AMD;08.06.2010;7.77
AMD;09.06.2010;7.61
AMD;10.06.2010;8.01
AMD;11.06.2010;8.12
AMD;14.06.2010;8.28
AMD;15.06.2010;8.82
AMD;16.06.2010;8.9
AMD;17.06.2010;8.91
AMD;18.06.2010;8.83
AMD;21.06.2010;8.8
AMD;22.06.2010;8.58
AMD;23.06.2010;8.56
AMD;24.06.2010;8.13
AMD;25.06.2010;8.09
AMD;28.06.2010;8.05
AMD;29.06.2010;7.48
AMD;30.06.2010;7.32
AMD;01.07.2010;7.39
AMD;02.07.2010;7.17
AMD;06.07.2010;7.04
AMD;07.07.2010;7.39
AMD;08.07.2010;7.37
AMD;09.07.2010;7.34
AMD;12.07.2010;7.36
AMD;13.07.2010;7.52
AMD;14.07.2010;7.44
AMD;15.07.2010;7.41
AMD;16.07.2010;7.37
AMD;19.07.2010;7.44
AMD;20.07.2010;7.6
AMD;21.07.2010;7.4
